               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.061403,            0.027489,                   0,             0.49829,             0.99659,              0.4975,               0.199,            0.024372,            0.015145,                   0,           0.0044377,           0.0044377,            0.050438
                  55,            0.046071,            0.032526,                   0,             0.49829,             0.99659,              0.4975,               0.199,            0.024372,            0.015145,                   0,           0.0045017,           0.0045017,            0.049502
                  56,            0.044233,            0.030648,                   0,               0.494,                   1,              0.4975,              0.2985,            0.016034,            0.015681,                   0,           0.0045651,           0.0045651,            0.048565
                  57,            0.043092,            0.025525,                   0,               0.494,                   1,              0.4975,              0.2985,            0.016034,            0.015681,                   0,           0.0046278,           0.0046278,            0.047628
                  58,            0.044434,            0.033636,                   0,               0.494,                   1,              0.4975,              0.2985,            0.016034,            0.015681,                   0,           0.0046899,           0.0046899,             0.04669
                  59,            0.023463,            0.021501,                   0,             0.96028,                   1,               0.995,               0.597,            0.018132,            0.014989,                   0,           0.0047513,           0.0047513,            0.045751
                  60,             0.04896,            0.030213,                   0,             0.96028,                   1,               0.995,               0.597,            0.018132,            0.014989,                   0,            0.004812,            0.004812,            0.044812
                  61,            0.049682,             0.02464,                   0,             0.96028,                   1,               0.995,               0.597,            0.018132,            0.014989,                   0,           0.0048721,           0.0048721,            0.043872
                  62,            0.040851,            0.035367,                   0,             0.98847,                   1,               0.995,               0.398,            0.021208,            0.014172,                   0,           0.0049315,           0.0049315,            0.042931
                  63,            0.037748,            0.023378,                   0,             0.98847,                   1,               0.995,               0.398,            0.021208,            0.014172,                   0,           0.0049902,           0.0049902,             0.04199
                  64,            0.028286,            0.025212,                   0,             0.98847,                   1,               0.995,               0.398,            0.021208,            0.014172,                   0,           0.0050483,           0.0050483,            0.041048
                  65,            0.038269,            0.033138,                   0,             0.98637,                   1,               0.995,               0.398,            0.020481,            0.013922,                   0,           0.0051057,           0.0051057,            0.040106
                  66,            0.041016,            0.027354,                   0,             0.98637,                   1,               0.995,               0.398,            0.020481,            0.013922,                   0,           0.0051625,           0.0051625,            0.039163
                  67,            0.035953,            0.030876,                   0,             0.98637,                   1,               0.995,               0.398,            0.020481,            0.013922,                   0,           0.0052186,           0.0052186,            0.038219
                  68,            0.047297,            0.026856,                   0,             0.98682,                   1,               0.995,              0.2985,            0.021392,            0.013813,                   0,           0.0052741,           0.0052741,            0.037274
                  69,            0.029173,            0.023825,                   0,             0.98682,                   1,               0.995,              0.2985,            0.021392,            0.013813,                   0,           0.0053289,           0.0053289,            0.036329
                  70,             0.05842,            0.025752,                   0,             0.98682,                   1,               0.995,              0.2985,            0.021392,            0.013813,                   0,            0.005383,            0.005383,            0.035383
                  71,            0.036183,            0.029101,                   0,             0.98291,                   1,               0.995,              0.2985,            0.019875,            0.013838,                   0,           0.0054365,           0.0054365,            0.034436
                  72,            0.040462,            0.028425,                   0,             0.98291,                   1,               0.995,              0.2985,            0.019875,            0.013838,                   0,           0.0054893,           0.0054893,            0.033489
                  73,            0.041157,            0.029689,                   0,             0.98291,                   1,               0.995,              0.2985,            0.019875,            0.013838,                   0,           0.0055414,           0.0055414,            0.032541
                  74,            0.055606,            0.020285,                   0,             0.98519,                   1,               0.995,              0.2985,            0.018169,            0.014128,                   0,           0.0055929,           0.0055929,            0.031593
                  75,            0.041242,            0.030204,                   0,             0.98519,                   1,               0.995,              0.2985,            0.018169,            0.014128,                   0,           0.0056438,           0.0056438,            0.030644
                  76,            0.037545,            0.024884,                   0,             0.98519,                   1,               0.995,              0.2985,            0.018169,            0.014128,                   0,           0.0056939,           0.0056939,            0.029694
                  77,            0.040855,            0.021914,                   0,             0.99497,                   1,               0.995,              0.2985,            0.016048,            0.013945,                   0,           0.0057434,           0.0057434,            0.028743
                  78,             0.10367,            0.027573,                   0,             0.99497,                   1,               0.995,              0.2985,            0.016048,            0.013945,                   0,           0.0057923,           0.0057923,            0.027792
                  79,            0.045184,            0.025787,                   0,             0.99497,                   1,               0.995,              0.2985,            0.016048,            0.013945,                   0,           0.0058405,           0.0058405,             0.02684
                  80,            0.045348,            0.017261,                   0,             0.99513,                   1,               0.995,               0.199,            0.019914,            0.012971,                   0,            0.005888,            0.005888,            0.025888
                  81,              0.0378,            0.027424,                   0,             0.99513,                   1,               0.995,               0.199,            0.019914,            0.012971,                   0,           0.0059349,           0.0059349,            0.024935
                  82,            0.044433,            0.022521,                   0,             0.99513,                   1,               0.995,               0.199,            0.019914,            0.012971,                   0,           0.0059811,           0.0059811,            0.023981
                  83,            0.058024,            0.027761,                   0,             0.99447,                   1,               0.995,              0.2985,            0.018002,            0.012822,                   0,           0.0060266,           0.0060266,            0.023027
                  84,            0.042358,            0.024129,                   0,             0.99447,                   1,               0.995,              0.2985,            0.018002,            0.012822,                   0,           0.0060715,           0.0060715,            0.022072
                  85,            0.049329,            0.025393,                   0,             0.99447,                   1,               0.995,              0.2985,            0.018002,            0.012822,                   0,           0.0061157,           0.0061157,            0.021116
                  86,            0.045388,            0.027318,                   0,             0.99447,                   1,               0.995,              0.2985,            0.018002,            0.012822,                   0,           0.0061593,           0.0061593,            0.020159
                  87,            0.042541,             0.03489,                   0,             0.99683,                   1,               0.995,               0.398,            0.015473,            0.012865,                   0,           0.0062022,           0.0062022,            0.019202
                  88,            0.052795,            0.023389,                   0,             0.99683,                   1,               0.995,               0.398,            0.015473,            0.012865,                   0,           0.0062445,           0.0062445,            0.018244
                  89,            0.048875,            0.030739,                   0,             0.99683,                   1,               0.995,               0.398,            0.015473,            0.012865,                   0,           0.0062861,           0.0062861,            0.017286
                  90,            0.041705,            0.024799,                   0,             0.99683,                   1,               0.995,               0.398,            0.015473,            0.012865,                   0,            0.006327,            0.006327,            0.016327
                  91,            0.044187,            0.025689,                   0,             0.99322,                   1,               0.995,               0.398,            0.015435,             0.01277,                   0,           0.0063673,           0.0063673,            0.015367
                  92,            0.037138,            0.035944,                   0,             0.99322,                   1,               0.995,               0.398,            0.015435,             0.01277,                   0,           0.0064069,           0.0064069,            0.014407
                  93,            0.044436,            0.026746,                   0,             0.99322,                   1,               0.995,               0.398,            0.015435,             0.01277,                   0,           0.0064458,           0.0064458,            0.013446
                  94,            0.045978,            0.027039,                   0,             0.99322,                   1,               0.995,               0.398,            0.015435,             0.01277,                   0,           0.0064841,           0.0064841,            0.012484
                  95,            0.048763,            0.024382,                   0,             0.99715,                   1,               0.995,              0.0995,            0.021984,            0.011656,                   0,           0.0065217,           0.0065217,            0.011522
                  96,             0.02982,            0.022624,                   0,             0.99715,                   1,               0.995,              0.0995,            0.021984,            0.011656,                   0,           0.0065587,           0.0065587,            0.010559
                  97,            0.037275,            0.031167,                   0,             0.99715,                   1,               0.995,              0.0995,            0.021984,            0.011656,                   0,            0.006595,            0.006595,            0.009595
                  98,            0.043536,            0.024581,                   0,             0.99715,                   1,               0.995,              0.0995,            0.021984,            0.011656,                   0,           0.0066307,           0.0066307,           0.0086307
                  99,            0.039091,             0.02751,                   0,             0.99699,                   1,               0.995,              0.0995,            0.024628,             0.01116,                   0,           0.0066657,           0.0066657,           0.0076657
                 100,            0.046917,            0.019736,                   0,             0.99699,                   1,               0.995,              0.0995,            0.024628,             0.01116,                   0,              0.0067,              0.0067,              0.0067
                 101,            0.040988,             0.03127,                   0,             0.99699,                   1,               0.995,              0.0995,            0.024628,             0.01116,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.044867,            0.033782,                   0,             0.99699,                   1,               0.995,              0.0995,            0.024628,             0.01116,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.026263,            0.020849,                   0,             0.99612,                   1,               0.995,               0.199,            0.023026,            0.011178,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.034819,            0.027536,                   0,             0.99612,                   1,               0.995,               0.199,            0.023026,            0.011178,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.047227,            0.026633,                   0,             0.99612,                   1,               0.995,               0.199,            0.023026,            0.011178,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.045529,            0.026252,                   0,             0.99612,                   1,               0.995,               0.199,            0.023026,            0.011178,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.044363,            0.024555,                   0,              0.9842,                   1,               0.995,              0.2985,             0.01921,            0.012101,                   0,            0.006502,            0.006502,            0.006502
